Filght_date,Flight_ID,Departure point,Arrival point,Scheduled_departure_time,Scheduled_arrival_time,STATUS,Aircraft_code,Arrival delay
2016-01-03,TU 0712 ,CMN,TUN,2016-01-03 10:30:00,2016-01-03 12.55.00,ATA,TU 32AIMN,260.0
2016-01-13,TU 0757 ,MXP,TUN,2016-01-13 15:05:00,2016-01-13 16.55.00,ATA,TU 31BIMO,20.0
2016-01-16,TU 0214 ,TUN,IST,2016-01-16 04:10:00,2016-01-16 06.45.00,ATA,TU 32AIMN,0.0
2016-01-17,TU 0480 ,DJE,NTE,2016-01-17 14:10:00,2016-01-17 17.00.00,ATA,TU 736IOK,0.0
2016-01-17,TU 0338 ,TUN,ALG,2016-01-17 14:30:00,2016-01-17 15.50.00,ATA,TU 320IMU,22.0
2016-01-17,TU 0283 ,TLS,TUN,2016-01-17 16:20:00,2016-01-17 18.15.00,ATA,TU 736IOP,53.0
2016-01-18,TU 0514 ,TUN,BCN,2016-01-18 07:15:00,2016-01-18 09.00.00,ATA,TU 32AIMH,10.0
2016-01-18,TU 0716 ,TUN,ORY,2016-01-18 07:35:00,2016-01-18 09.55.00,ATA,TU 32AIMI,15.0
2016-01-18,TU 0752 ,TUN,FCO,2016-01-18 07:40:00,2016-01-18 09.00.00,ATA,TU 32AIMC,16.0
2016-01-18,TU 0996 ,TUN,NCE,2016-01-18 07:45:00,2016-01-18 09.15.00,ATA,TU 31AIMK,21.0
2016-01-18,TU 0930 ,TUN,MRS,2016-01-18 07:55:00,2016-01-18 09.30.00,ATA,TU 32AIMF,12.0
2016-01-20,TU 0724 ,TUN,ORY,2016-01-20 18:30:00,2016-01-20 20.50.00,ATA,TU 32AIMP,18.0
2016-01-20,TU 0913 ,TUN,MED,2016-01-20 19:40:00,2016-01-21 00.00.00,ATA,TU 320IMR,0.0
2016-01-21,TU 0217 ,IST,TUN,2016-01-21 20:10:00,2016-01-21 23.00.00,ATA,TU 320IMU,0.0
2016-01-22,TU 0744 ,TUN,FRA,2016-01-22 07:05:00,2016-01-22 09.40.00,ATA,TU 736IOP,18.0
2016-01-22,TU 0706 ,CMN,TUN,2016-01-22 17:45:00,2016-01-22 20.10.00,ATA,TU 320IMR,0.0
2016-01-22,TU 0723 ,ORY,TUN,2016-01-22 18:30:00,2016-01-22 21.00.00,ATA,TU 332IFN,37.0
2016-01-23,TU 0726 ,MIR,BRU,2016-01-23 05:30:00,2016-01-23 08.15.00,ATA,TU 31AIMJ,149.0
2016-01-22,TU 0913 ,TUN,MED,2016-01-22 19:40:00,2016-01-23 00.00.00,ATA,TU 320IMT,30.0
2016-01-23,TU 9038 ,TUN,DJE,2016-01-23 08:50:00,2016-01-23 09.45.00,ATA,TU 736IOL,19.0
2016-01-23,TU 0717 ,ORY,TUN,2016-01-23 10:55:00,2016-01-23 13.20.00,ATA,TU 32AIMI,27.0
2016-01-24,TU 0430 ,DJE,LYS,2016-01-24 14:05:00,2016-01-24 16.25.00,ATA,TU 31AIMJ,0.0
2016-01-27,TU 0789 ,BRU,TUN,2016-01-27 11:35:00,2016-01-27 14.15.00,ATA,TU 32AIMF,31.0
2016-02-01,TU 0913 ,TUN,MED,2016-02-01 19:40:00,2016-02-02 00.00.00,ATA,TU 320IMT,10.0
2016-02-02,TU 0711 ,TUN,CMN,2016-02-02 06:55:00,2016-02-02 09.40.00,ATA,TU 320IMU,24.0
2016-02-02,TU 0226 ,TUN,BEG,2016-02-02 08:00:00,2016-02-02 10.05.00,ATA,TU 32AIMN,9.0
2016-02-02,TU 0723 ,ORY,TUN,2016-02-02 18:30:00,2016-02-02 20.55.00,ATA,TU 320IMR,0.0
2016-02-02,TU 0397 ,TUN,OUA,2016-02-02 18:30:00,2016-02-02 22.50.00,ATA,TU 31BIMQ,0.0
2016-02-02,TU 0217 ,IST,TUN,2016-02-02 20:10:00,2016-02-02 23.00.00,ATA,TU 32AIMN,0.0
2016-02-03,TU 0398 ,ABJ,TUN,2016-02-03 01:55:00,2016-02-03 07.05.00,ATA,TU 31BIMQ,0.0
2016-02-03,TU 0473 ,VCE,TUN,2016-02-03 10:00:00,2016-02-03 11.45.00,ATA,TU 320IMU,9.0
2016-02-04,TU 0680 ,TUN,MRS,2016-02-04 08:25:00,2016-02-04 10.00.00,ATA,TU 31AIMK,49.0
2016-02-04,TU 0700 ,TUN,GVA,2016-02-04 12:40:00,2016-02-04 14.35.00,ATA,TU 31BIMO,0.0
2016-02-04,TU 0850 ,TUN,LYS,2016-02-04 12:15:00,2016-02-04 14.05.00,ATA,TU 736IOK,24.0
2016-02-04,TU 0756 ,TUN,MXP,2016-02-04 12:30:00,2016-02-04 14.15.00,ATA,TU 32AIMN,12.0
2016-02-04,TU 0208 ,TUN,NTE,2016-02-04 12:50:00,2016-02-04 15.15.00,ATA,TU 736IOR,7.0
2016-02-04,TU 0635 ,MIR,DJE,2016-02-04 15:05:00,2016-02-04 15.45.00,ATA,TU 31AIMJ,20.0
2016-02-04,TU 0757 ,MXP,TUN,2016-02-04 15:05:00,2016-02-04 17.00.00,ATA,TU 32AIMN,20.0
2016-02-05,TU 0711 ,TUN,CMN,2016-02-05 06:55:00,2016-02-05 09.40.00,ATA,TU 320IMV,125.0
2016-02-05,TU 0847 ,TUN,BEY,2016-02-05 09:30:00,2016-02-05 12.45.00,ATA,TU 31BIMO,13.0
2016-02-05,TU 0881 ,AMS,TUN,2016-02-05 10:10:00,2016-02-05 13.00.00,ATA,TU 736IOK,37.0
2016-02-05,TU 0745 ,FRA,TUN,2016-02-05 10:30:00,2016-02-05 12.55.00,ATA,TU 32AIMC,25.0
2016-02-05,TU 0902 ,TUN,MRS,2016-02-05 14:05:00,2016-02-05 15.45.00,ATA,TU 736IOK,50.0
2016-02-05,TU 0717 ,ORY,TUN,2016-02-05 10:55:00,2016-02-05 13.15.00,ATA,TU 320IMS,12.0
2016-02-05,TU 0515 ,BCN,TUN,2016-02-05 16:40:00,2016-02-05 18.15.00,ATA,TU 320IMS,93.0
2016-02-05,TU 0724 ,TUN,ORY,2016-02-05 18:30:00,2016-02-05 20.50.00,ATA,TU 32AIMN,10.0
2016-02-06,TU 0635 ,ORY,DJE,2016-02-06 17:40:00,2016-02-06 20.25.00,ATA,TU 320IMS,147.0
2016-02-07,TU 0714 ,JED,TUN,2016-02-07 00:55:00,2016-02-07 05.30.00,ATA,TU 332IFM,15.0
2016-02-08,TU 0339 ,ALG,TUN,2016-02-08 17:00:00,2016-02-08 18.10.00,ATA,TU 320IMU,0.0
